claim_id,subject,claim,source_id,evidence,confidence,used_in_scoring,public,notes
C030,"logixPRO","Склад работает под WMS Manhattan SCALE и заявляет точность 99,98%",S021,"WMS + 99,98%","HIGH",TRUE,TRUE,""
C031,"FullBox","Подтверждены WMS, Честный знак и FBO/FBS",S023,"Полный универсальный цикл","HIGH",TRUE,TRUE,""
C032,"FullBox","Упаковочная зона включает термоусадку и вакуум до 7000 ед./день",S024,"7000 ед./день","HIGH",TRUE,TRUE,""
C033,"E-Fulfillment","Подтверждены FBO/FBS, Честный знак и проверка на брак",S025,"Полный цикл","HIGH",TRUE,TRUE,""
C034,"E-Fulfillment","Склад 4600 м2 и 7200 паллетных мест",S025,"4600 м2; 7200 паллет","HIGH",TRUE,TRUE,""
C035,"E-Fulfillment","Использует собственную систему учета RAXS",S026,"WMS/учет","HIGH",TRUE,TRUE,""
C036,"WBBK","Подтверждены WMS, Честный знак и FBO/FBS/DBS",S027,"Полный универсальный процесс","HIGH",TRUE,TRUE,""
C037,"Repacking24","Прайс содержит ВПП, термоусадку и Честный знак",S029,"Открытый прайс","HIGH",TRUE,TRUE,""
C038,"Easyful","Подтверждены FBO/FBS и онлайн-учет остатков",S030,"Универсальный процесс","HIGH",TRUE,TRUE,""
C039,"Handee","Процесс включает эталонную единицу, контроль качества и маркировки",S032,"Контрольный процесс","HIGH",TRUE,TRUE,""
C040,"9Gramm","Прайс содержит ВПП, термоусадку и визуальную проверку брака",S033,"Открытый прайс","HIGH",TRUE,TRUE,""
C041,"Методика","Wildberries выделяет бытовую химию в отдельный раздел требований к упаковке",S035,"Официальная инструкция","HIGH",FALSE,TRUE,""
C042,"Методика","Для жидкой бытовой химии Wildberries допускает комбинации ВПП, пакета, коробки и термоусадки",S035,"Официальные варианты упаковки","HIGH",FALSE,TRUE,""
C043,"Методика","С 1 июля 2026 года для маркируемой бытовой химии действует объемно-сортовой учет в УПД",S036,"Официальные правила маркировки","HIGH",FALSE,TRUE,""
C044,"Исследование","PREP-T009 использован только как provenance и market recall",S037,"Предыдущая публикация","HIGH",FALSE,TRUE,"Баллы пересчитаны заново"
